episode,source,copies,banc,run,ep,date,contamine,version_job,version_jouee,coherent,campagne,graine,palier,jour,bras,hors_corpus,depart,arret,tenir,appui_feu,feu_avant,mg_assaut,delai_porteur,appui_fixe,accessible,effectif,oracle,issue,cause,charges,sur,detruits,exfiltres,vivants,morts_fs,roles_morts,pertes_est,renseignement,alarme,compromis,t_compromis,cause_compromis,phase_au_compromis,latence_surprise,abandon,duree_s,ph1,ph2,ph3,ph4,ph5,ph6,charges_detail,porteur_temps,tirs_appui_avant,tirs_appui_total,appui_position_m,mg_munitions,porte_lecture,empreinte,note_job
2026-09-07_1125_chacal/g3,/mnt/data/hmt/runs/2026-09-07_1125_chacal/g3/serveur.rpt,1,chacal,2026-09-07_1125_chacal,g3,2026-09-07,0,,,0,,3,0,0,NUL,1,3,,,,,,,,,,,VOID,LAMBS_ABSENT,2,3,2,2,2,8,FUSILIER_2 CHEF TIREUR_2 ADJOINT MEDECIN TIREUR_1 DEMO_2 AT,11,0,1,1,419.36,ENNEMI_VU_EN_COMBAT,5,-9.24,0,2243,,,,,INCOMPLET@784.21,PLAFOND@2238.83,antenne:POSEE tour:PORTEUR_N_ARRIVE_PAS QG:POSEE,,,,,,REFUSE,,"temoin du lanceur ; palier 0 refuse 2x le 05/09, cause temoin_vu_par_VG"
2026-09-07_1125_chacal/g4,/mnt/data/hmt/runs/2026-09-07_1125_chacal/g4/serveur.rpt,1,chacal,2026-09-07_1125_chacal,g4,2026-09-07,0,,,0,,4,0,0,NUL,1,3,,,,,,,,,,,VOID,LAMBS_ABSENT,3,3,3,4,4,6,CHEF TIREUR_1 TIREUR_2 DEMO_2 FUSILIER_1 FUSILIER_2,12,0,1,1,260.65,COUP_RECU,,-59.87,0,2361,,,,,ATTEINT@1086.66,PLAFOND@2357.21,antenne:POSEE tour:POSEE QG:POSEE,,,,,,REFUSE,,"temoin du lanceur ; palier 0 refuse 2x le 05/09, cause temoin_vu_par_VG"
2026-09-07_1355_chacal/g3,/mnt/data/hmt/runs/2026-09-07_1355_chacal/g3/serveur.rpt,1,chacal,2026-09-07_1355_chacal,g3,2026-09-07,0,,,0,,3,0,0,NUL,1,3,,,,,,,,,,,ECHEC,EXFIL_MANQUEE,3,3,3,0,6,4,AT MEDECIN FUSILIER_2 CHEF,13,0,1,1,319.08,ENNEMI_VU_EN_COMBAT,5,-8.07,0,2333,,,,,ATTEINT@878.39,PLAFOND@2327.84,antenne:POSEE tour:POSEE QG:POSEE,,,,,,ACCEPTE,,temoin 2 : LAMBS ajoute au lancement ; palier 0
2026-09-07_1355_chacal/g4,/mnt/data/hmt/runs/2026-09-07_1355_chacal/g4/serveur.rpt,1,chacal,2026-09-07_1355_chacal,g4,2026-09-07,0,,,0,,4,0,0,NUL,1,3,,,,,,,,,,,ABANDON,ARTICULATION_ROMPUE,0,3,0,0,0,10,CHEF TIREUR_2 DEMO_2 TIREUR_1 AT DEMO_1 FUSILIER_2 MEDECIN FUSILIER_1 ADJOINT,1,0,1,1,264.73,ENNEMI_VU_EN_COMBAT,,1.63,1,367,,,,,ARTICULATION_ROMPUE@359.67,DETRUIT@362.68,,,,,,,ACCEPTE,,temoin 2 : LAMBS ajoute au lancement ; palier 0
2026-09-08_0956_chacal/g5,/mnt/data/hmt/runs/2026-09-08_0956_chacal/g5/serveur.rpt,1,chacal,2026-09-08_0956_chacal,g5,2026-09-08,0,,,1,,5,0,0,NUL,0,1,,,,,,,,,,,ABANDON,ARTICULATION_ROMPUE,0,3,0,0,10,0,,0,0,0,0,,,,-999,1,6183,ATTEINT@221.32,ATTEINT@2495.09,,,ARTICULATION_ROMPUE@2897.32,PLAFOND@6177.53,,,,,,,ACCEPTE,,"premier episode du corpus : palier 0 joue en entier, six phases, graines 5 et 6"
2026-09-08_0956_chacal/g6,/mnt/data/hmt/runs/2026-09-08_0956_chacal/g6/serveur.rpt,1,chacal,2026-09-08_0956_chacal,g6,2026-09-08,0,,,1,,6,0,0,NUL,0,1,,,,,,,,,,,ABANDON,COMPROMIS_LOIN,0,3,0,4,4,6,AT TIREUR_2 CHEF TIREUR_1 DEMO_2 DEMO_1,0,0,1,1,1212.34,COUP_RECU,2,-7.94,1,3101,ATTEINT@212.41,COMPROMIS@1214.17,,,,PLAFOND@3096.57,,,,,,,ACCEPTE,,"premier episode du corpus : palier 0 joue en entier, six phases, graines 5 et 6"
2026-09-08_1415_chacal/g7,/mnt/data/hmt/runs/2026-09-08_1415_chacal/g7/serveur.rpt,1,chacal,2026-09-08_1415_chacal,g7,2026-09-08,0,,,1,,7,0,0,PLAN,0,1,,,,,,,,,,,ECHEC,CHARGES_INCOMPLETES,0,3,0,5,5,5,DEMO_1 ADJOINT MEDECIN DEMO_2 CHEF,6,0,1,1,5154.85,ENNEMI_VU_EN_COMBAT,4,-2.87,0,6716,ATTEINT@245.72,ATTEINT@2814.51,RENSEIGNEMENT_PAUVRE@4880.68,COMPROMIS@5155.91,INCOMPLET@5379.91,PLAFOND@6711.95,,,,,,,ACCEPTE,,"le PLAN en six phases, enfin joue ; temoin de comparaison = run 0956 (bras NUL, graines 5 et 6)"
2026-09-08_1415_chacal/g8,/mnt/data/hmt/runs/2026-09-08_1415_chacal/g8/serveur.rpt,1,chacal,2026-09-08_1415_chacal,g8,2026-09-08,0,,,1,,8,0,0,PLAN,0,1,,,,,,,,,,,ECHEC,CHARGES_INCOMPLETES,0,3,0,0,7,3,TIREUR_1 TIREUR_2 CHEF,14,0,1,1,2887.16,FEU_PROCHE,3,-1840.91,0,6176,ATTEINT@186.47,ENLISE@2443.46,COMPROMIS@2889.16,,INCOMPLET@3730.32,PLAFOND@6170.89,antenne:ELEMENT_N_ARRIVE_PAS tour:ELEMENT_N_ARRIVE_PAS QG:ELEMENT_N_ARRIVE_PAS,,,,,,ACCEPTE,,"le PLAN en six phases, enfin joue ; temoin de comparaison = run 0956 (bras NUL, graines 5 et 6)"
2026-09-08_1825_chacal/g7,/mnt/data/hmt/runs/2026-09-08_1825_chacal/g7/serveur.rpt,1,chacal,2026-09-08_1825_chacal,g7,2026-09-08,0,A,A,1,,7,0,0,PLAN,0,1,,,,,,,,,,,ABANDON,COMPROMIS_LOIN,0,3,0,0,9,1,CHEF,3,0,1,1,1517.21,ENNEMI_VU_EN_COMBAT,2,-0.64,1,3634,ATTEINT@227.15,COMPROMIS@1517.78,,,,PLAFOND@3629.32,,,,,,,ACCEPTE,ebcc97742bd4,"A - une seule variable : plus aucune mitrailleuse servie. Reference = run 1415 (memes graines, hmg=1). Attendu si la pie"
2026-09-08_1825_chacal/g8,/mnt/data/hmt/runs/2026-09-08_1825_chacal/g8/serveur.rpt,1,chacal,2026-09-08_1825_chacal,g8,2026-09-08,0,A,A,1,,8,0,0,PLAN,0,1,,,,,,,,,,,ECHEC,CHARGES_INCOMPLETES,0,3,0,0,5,5,TIREUR_2 TIREUR_1 AT CHEF DEMO_2,13,0,1,1,4126.58,ENNEMI_VU_EN_COMBAT,3,-14.3,0,7757,ATTEINT@187.55,ENLISE@2113.46,COMPROMIS@4127.4,,INCOMPLET@4909.51,PLAFOND@7753.14,antenne:ELEMENT_N_ARRIVE_PAS tour:ELEMENT_N_ARRIVE_PAS QG:PLAFOND_PHASE,,,,,,ACCEPTE,ebcc97742bd4,"A - une seule variable : plus aucune mitrailleuse servie. Reference = run 1415 (memes graines, hmg=1). Attendu si la pie"
